"","Eye","Loc","ID","Side","Angle","IOP"
"142",12,"T",12,"L",-15,19.8
"143",13,"T",13,"L",-15,22.7
"144",14,"U",1,"R",-15,21.1
"145",15,"U",2,"R",-15,23.9
"146",16,"U",3,"R",-15,18.1
"147",17,"U",4,"R",-15,21.4
"148",18,"U",5,"R",-15,19.7
"149",19,"U",6,"R",-15,24.9
"150",20,"U",7,"R",-15,24.3
"151",21,"T",8,"R",-15,14
"152",22,"T",9,"R",-15,14.7
"153",23,"T",10,"R",-15,22.3
"154",24,"T",11,"R",-15,20.2
"155",25,"T",12,"R",-15,18.7
"156",26,"T",13,"R",-15,24.2
"157",1,"U",1,"L",0,25
"158",2,"U",2,"L",0,19.7
"159",3,"U",3,"L",0,17.3
"160",4,"U",4,"L",0,22.8
"161",5,"U",5,"L",0,16.8
"162",6,"U",6,"L",0,22.8
"163",7,"U",7,"L",0,20.6
"164",8,"T",8,"L",0,15.9
"165",9,"T",9,"L",0,NA
"166",10,"T",10,"L",0,21.6
"167",11,"T",11,"L",0,21.1
"168",12,"T",12,"L",0,16
"169",13,"T",13,"L",0,18.6
"170",14,"U",1,"R",0,22.8
"171",15,"U",2,"R",0,20.6
"172",16,"U",3,"R",0,18.1
"173",17,"U",4,"R",0,22.7
"174",18,"U",5,"R",0,16.5
"175",19,"U",6,"R",0,20.4
"176",20,"U",7,"R",0,15.9
"177",21,"T",8,"R",0,16.8
"178",22,"T",9,"R",0,14.1
"179",23,"T",10,"R",0,20.6
"180",24,"T",11,"R",0,17.2
"181",25,"T",12,"R",0,16.9
"182",26,"T",13,"R",0,19.1
"183",1,"U",1,"L",15,17
"184",2,"U",2,"L",15,19.2
"185",3,"U",3,"L",15,15.8
"186",4,"U",4,"L",15,22.1
"187",5,"U",5,"L",15,16.8
"188",6,"U",6,"L",15,21.1
"189",7,"U",7,"L",15,16.2
"190",8,"T",8,"L",15,14.6
"191",9,"T",9,"L",15,NA
"192",10,"T",10,"L",15,18.1
"193",11,"T",11,"L",15,19.1
"194",12,"T",12,"L",15,17
"195",13,"T",13,"L",15,19.9
"196",14,"U",1,"R",15,22
"197",15,"U",2,"R",15,18.2
"198",16,"U",3,"R",15,16.3
"199",17,"U",4,"R",15,18.9
"200",18,"U",5,"R",15,16.2
"201",19,"U",6,"R",15,22.6
"202",20,"U",7,"R",15,18.6
"203",21,"T",8,"R",15,14.5
"204",22,"T",9,"R",15,14.3
"205",23,"T",10,"R",15,17.5
"206",24,"T",11,"R",15,21.2
"207",25,"T",12,"R",15,17.7
"208",26,"T",13,"R",15,21.7
"209",1,"U",1,"L",30,19.6
"210",2,"U",2,"L",30,19
"211",3,"U",3,"L",30,15.7
"212",4,"U",4,"L",30,20.4
"213",5,"U",5,"L",30,17.5
"214",6,"U",6,"L",30,23.8
"215",7,"U",7,"L",30,16.9
"216",8,"T",8,"L",30,15.4
"217",9,"T",9,"L",30,NA
"218",10,"T",10,"L",30,17.6
"219",11,"T",11,"L",30,20.9
"220",12,"T",12,"L",30,18.4
"221",13,"T",13,"L",30,20.2
"222",14,"U",1,"R",30,17.7
"223",15,"U",2,"R",30,18.2
"224",16,"U",3,"R",30,14.6
"225",17,"U",4,"R",30,21.5
"226",18,"U",5,"R",30,16.8
"227",19,"U",6,"R",30,20.5
"228",20,"U",7,"R",30,16.1
"229",21,"T",8,"R",30,16.2
"230",22,"T",9,"R",30,12.4
"231",23,"T",10,"R",30,16.5
"232",24,"T",11,"R",30,17.7
"233",25,"T",12,"R",30,16.2
"234",26,"T",13,"R",30,17.5
"235",1,"U",1,"L",45,19
"236",2,"U",2,"L",45,19.2
"237",3,"U",3,"L",45,16.9
"238",4,"U",4,"L",45,15.7
"239",5,"U",5,"L",45,16.7
"240",6,"U",6,"L",45,19.6
